Incident_ID,Date,Quarter,State,School_Level
20190808ALBLM,2019-08-08,Summer,Alabama,Elementary
20190719CAMOS,2019-07-19,Summer,California,Middle
20190711CTBUH,2019-07-11,Summer,Connecticut,High
20190702AKWIA,2019-07-02,Summer,Alaska,Elementary
20190701NYSCN,2019-07-01,Summer,New York,Elementary
20190629COJAC,2019-06-29,Summer,Colorado,Elementary
20190621MICAF,2019-06-21,Summer,Michigan,High
20190613NJTAW,2019-06-13,Summer,New Jersey,Elementary
20190612PAJEE,2019-06-12,Summer,Pennsylvania,Elementary
20190612DCHEW,2019-06-12,Summer,Washington,Elementary
20190610ILMEW,2019-06-10,Summer,Illinois,Other
20190606ILGEC,2019-06-06,Summer,Illinois,Elementary
20190530DCHEW,2019-05-30,Spring,Washington,Elementary
20190517ORPAP,2019-05-17,Spring,Oregon,High
20190517FLTEJ,2019-05-17,Spring,Florida,High
20190508ILSEC,2019-05-08,Spring,Illinois,High
20190507COSTH,2019-05-07,Spring,Colorado,K-12
20190430VACDW,2019-04-30,Spring,Virginia,High
20190430FLWEW,2019-04-30,Spring,Florida,Middle
20190426GACRF,2019-04-26,Spring,Georgia,High
20190425GAWYS,2019-04-25,Spring,Georgia,Elementary
20190424ARCOC,2019-04-24,Spring,Arkansas,High
20190417ILWAL,2019-04-17,Spring,Illinois,Middle
20190410TXROH,2019-04-10,Spring,Texas,High
20190407MAHOL,2019-04-07,Spring,Massachusetts,Elementary
20190405WISTM,2019-04-05,Spring,Wisconsin,Other
20190403FLSAJ,2019-04-03,Spring,Florida,Elementary
20190403COAUA,2019-04-03,Spring,Colorado,Unknown
20190401ARPRP,2019-04-01,Spring,Arkansas,High
20190327MSSVH,2019-03-27,Spring,Mississippi,Elementary
20190322ALBLB,2019-03-22,Spring,Alabama,Elementary
20190313FLLAO,2019-03-13,Spring,Florida,High
20190301KSHIM,2019-03-01,Spring,Kansas,Elementary
20190226ALROM,2019-02-26,Winter,Alabama,High
20190217COEAA,2019-02-17,Winter,Colorado,High
20190214NMV.R,2019-02-14,Winter,New Mexico,High
20190212MOCEK,2019-02-12,Winter,Missouri,High
20190208MDFRB,2019-02-08,Winter,Maryland,High
20190205MNMIM,2019-02-05,Winter,Minnesota,
20190131TXATA,2019-01-31,Winter,Texas,High
20190131TNMAM,2019-01-31,Winter,Tennessee,High
20190130GAMIL,2019-01-30,Winter,Georgia,High
20190125TNMAM,2019-01-25,Winter,Tennessee,High
20190125ALDAM,2019-01-25,Winter,Alabama,High
20190123LASOS,2019-01-23,Winter,Louisiana,Elementary
20190119KSLAO,2019-01-19,Winter,Kansas,Middle
20190118NCSHD,2019-01-18,Winter,North Carolina,Middle
20190118MOHAS,2019-01-18,Winter,Missouri,High
20190118ALCET,2019-01-18,Winter,Alabama,High
20190111ORCAE,2019-01-11,Winter,Oregon,Middle
20190107CACEB,2019-01-07,Winter,California,Elementary
20181218DEAIG,2018-12-18,Winter,Delaware,High
20181214MOWIK,2018-12-14,Winter,Missouri,High
20181213INDER,2018-12-13,Winter,Indiana,Middle
20181211KYCAC,2018-12-11,Winter,Kentucky,Elementary
20181210NYJEJ,2018-12-10,Winter,New York,High
20181128PASTP,2018-11-28,Fall,Pennsylvania,High
20181124OHAFC,2018-11-24,Fall,Ohio,K-12
20181122WAMOD,2018-11-22,Fall,Washington,High
20181122TXSKD,2018-11-22,Fall,Texas,High
20181121MIPEP,2018-11-21,Fall,Michigan,K-8
20181120VASIP,2018-11-20,Fall,Virginia,Elementary
20181112MDEAE,2018-11-12,Fall,Maryland,High
20181109GAGAM,2018-11-09,Fall,Georgia,Middle
20181108CACLS,2018-11-08,Fall,California,Elementary
20181105SCACC,2018-11-05,Fall,South Carolina,K-8
20181104KYCRL,2018-11-04,Fall,Kentucky,Elementary
20181029NCBUM,2018-10-29,Fall,North Carolina,High
20181025MICOD,2018-10-25,Fall,Michigan,High
20181023NHGOM,2018-10-23,Fall,New Hampshire,Elementary
20181022CTDUB,2018-10-22,Fall,Connecticut,Elementary
20181020GASHS,2018-10-20,Fall,Georgia,Middle
20181013TNMCN,2018-10-13,Fall,Tennessee,High
